,platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id
28,Mobile App Beta,2021-05,A002,89596,40258,30279,26586,42.6,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
29,Mobile App Beta,2021-06,A002,187539,87775,48363,30763,79.31,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
30,Mobile App Beta,2021-07,A002,98313,35469,31201,26898,50.07,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
31,Mobile App Beta,2021-08,A002,193175,58854,24715,8189,52.93,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
32,Mobile App Beta,2021-09,A002,194914,36256,34309,18913,48.24,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
33,Mobile App Beta,2021-10,A002,103705,63937,20078,9157,56.51,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
34,Mobile App Beta,2021-11,A002,153445,31651,10105,7462,77.84,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
35,Mobile App Beta,2021-12,A002,183892,80288,34312,30495,65.97,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
36,Responsive Web Version,2021-01,A004,82023,55051,7839,3558,50.24,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
37,Responsive Web Version,2021-02,A004,199654,57386,8384,5805,83.89,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
38,Responsive Web Version,2021-03,A004,160073,46184,48619,20364,83.98,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
39,Responsive Web Version,2021-04,A004,262756,167913,16821,5065,81.3,,C010
40,Responsive Web Version,2021-05,A004,172197,63787,47821,30567,83.53,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
41,Responsive Web Version,2021-06,A004,144429,51621,18493,10695,51.94,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
42,Responsive Web Version,2021-07,A004,184195,89792,22069,19491,62.56,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
43,Responsive Web Version,2021-08,A004,113848,75253,12531,8334,89.25,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
44,Responsive Web Version,2021-09,A004,248876,64051,42051,21433,78.6,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
45,Responsive Web Version,2021-10,A004,226451,79811,12736,4692,41.36,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
46,Responsive Web Version,2021-11,A004,107766,60447,12710,4966,43.26,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
47,Responsive Web Version,2021-12,A004,148099,60254,6619,2880,63.2,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
48,PDF WhatsApp Push,2021-01,A004,143046,82929,34112,17879,91.9,"The site takes too long to load on average phones.
People didn’t wait around.",C011
49,PDF WhatsApp Push,2021-02,A004,117339,40702,34474,12077,78.75,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
50,PDF WhatsApp Push,2021-03,A002,207933,36532,17790,9708,70.54,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
51,PDF WhatsApp Push,2021-04,A004,230418,79599,28986,16122,78.24,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
52,PDF WhatsApp Push,2021-05,A003,197163,91942,33184,14664,46.06,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
53,PDF WhatsApp Push,2021-06,A003,150665,84944,32573,6744,70.85,"The site takes too long to load on average phones.
People didn’t wait around.",C011
54,PDF WhatsApp Push,2021-07,A003,122865,92862,25162,14558,62.75,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
55,PDF WhatsApp Push,2021-08,A004,157634,74350,22409,20536,59.18,"The site takes too long to load on average phones.
People didn’t wait around.",C011
56,PDF WhatsApp Push,2021-09,A004,161137,84621,14965,10378,78.98,nan,C011
57,PDF WhatsApp Push,2021-10,A003,73586,96540,22852,17897,60.96,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
58,PDF WhatsApp Push,2021-11,A003,217884,33571,44788,18581,80.64,nan,C011
59,PDF WhatsApp Push,2021-12,A002,220687,90864,29486,24433,57.37,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
60,E-paper Mobile Web,2021-01,A002,148087,89398,29787,14309,61.37,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
61,E-paper Mobile Web,2021-02,A004,220159,61400,30456,20212,83.57,nan,C011
62,E-paper Mobile Web,2021-03,A003,278971,33529,23755,6886,103.44,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
63,E-paper Mobile Web,2021-04,A004,228092,49056,36853,9865,87.5,"The site takes too long to load on average phones.
People didn’t wait around.",C011
64,E-paper Mobile Web,2021-05,A001,181991,53991,40098,19720,56.4,"The site takes too long to load on average phones.
People didn’t wait around.",C011
65,E-paper Mobile Web,2021-06,A002,213758,63763,20815,21320,94.95,nan,C011
66,E-paper Mobile Web,2021-07,A004,202187,52734,18154,26046,74.24,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
67,E-paper Mobile Web,2021-08,A003,162187,72761,36219,20566,71.86,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
68,E-paper Mobile Web,2021-09,A001,118297,32381,34543,21469,76.77,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
69,E-paper Mobile Web,2021-10,A002,114576,46262,39412,15700,75.24,"The site takes too long to load on average phones.
People didn’t wait around.",C011
70,E-paper Mobile Web,2021-11,A004,245450,64497,32782,8243,68.15,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
71,E-paper Mobile Web,2021-12,A003,183282,76284,29353,15094,49.74,nan,C011
72,Mobile App Beta,2021-01,A003,213340,102494,23253,5518,58.28,nan,C011
73,Mobile App Beta,2021-02,A001,303831,60058,36580,14772,77.94,"The site takes too long to load on average phones.
People didn’t wait around.",C011
74,Mobile App Beta,2021-03,A001,256084,88425,30789,13935,70.67,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
75,Mobile App Beta,2021-04,A001,216598,70096,46114,6710,68.29,"The site takes too long to load on average phones.
People didn’t wait around.",C011
76,Mobile App Beta,2021-05,A003,166064,80947,35131,8552,93.85,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
77,Mobile App Beta,2021-06,A004,158462,66919,18725,15621,61.73,nan,C011
78,Mobile App Beta,2021-07,A001,260003,60929,20561,13509,83.11,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
79,Mobile App Beta,2021-08,A004,149318,57938,27273,19116,66.73,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
80,Mobile App Beta,2021-09,A004,240858,29971,27697,17145,64.79,"The site takes too long to load on average phones.
People didn’t wait around.",C011
81,Mobile App Beta,2021-10,A002,151370,84799,24870,7258,59.48,nan,C011
82,Mobile App Beta,2021-11,A004,164006,75121,34012,9739,78.46,nan,C011
83,Mobile App Beta,2021-12,A002,174378,88856,25475,12244,82.54,nan,C011
84,Responsive Web Version,2021-01,A004,247439,91259,25984,8349,46.96,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
85,Responsive Web Version,2021-02,A002,213951,56685,28803,16285,63.0,"The site takes too long to load on average phones.
People didn’t wait around.",C011
86,Responsive Web Version,2021-03,A001,196570,42327,18682,16587,66.4,"The site takes too long to load on average phones.
People didn’t wait around.",C011
87,Responsive Web Version,2021-04,A002,202573,34365,12448,15019,60.24,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
88,Responsive Web Version,2021-05,A004,210339,78952,22874,16435,85.06,"The site takes too long to load on average phones.
People didn’t wait around.",C011
89,Responsive Web Version,2021-06,A001,251728,58870,19087,20381,56.28,nan,C011
90,Responsive Web Version,2021-07,A004,167250,87147,33227,7212,57.32,nan,C011
91,Responsive Web Version,2021-08,A001,205324,52065,27143,10455,55.43,"The site takes too long to load on average phones.
People didn’t wait around.",C011
92,Responsive Web Version,2021-09,A004,227587,71531,12983,16101,52.43,"The site takes too long to load on average phones.
People didn’t wait around.",C011
93,Responsive Web Version,2021-10,A004,299667,88300,13757,25543,81.59,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C011
94,Responsive Web Version,2021-11,A004,197392,107898,25592,18293,51.89,nan,C011
95,Responsive Web Version,2021-12,A001,222631,62743,-3074,5596,65.11,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C011
96,PDF WhatsApp Push,2021-01,A003,173245,78140,27378,12003,63.9,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
97,PDF WhatsApp Push,2021-02,A002,229251,81386,33652,11992,49.69,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C012
98,PDF WhatsApp Push,2021-03,A002,164979,68110,37060,12933,33.76,"The site takes too long to load on average phones.
People didn’t wait around.",C012
99,PDF WhatsApp Push,2021-04,A004,243651,72627,37298,12404,56.07,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C012
100,PDF WhatsApp Push,2021-05,A002,202393,84722,35371,16871,75.86,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
101,PDF WhatsApp Push,2021-06,A001,225312,72281,27243,8497,68.65,nan,C012
102,PDF WhatsApp Push,2021-07,A002,174623,55806,32058,15383,46.24,nan,C012
103,PDF WhatsApp Push,2021-08,A001,199341,29604,25315,17775,100.69,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
104,PDF WhatsApp Push,2021-09,A002,133925,68862,9378,15932,62.97,nan,C012
105,PDF WhatsApp Push,2021-10,A004,222843,91609,16386,7559,72.88,nan,C012
106,PDF WhatsApp Push,2021-11,A003,152300,37140,17969,10279,61.03,nan,C012
107,PDF WhatsApp Push,2021-12,A004,226556,64580,23901,15688,69.82,nan,C012
108,E-paper Mobile Web,2021-01,A001,322101,57541,37575,13394,70.17,"The site takes too long to load on average phones.
People didn’t wait around.",C012
109,E-paper Mobile Web,2021-02,A004,253153,55271,40816,6697,45.74,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
110,E-paper Mobile Web,2021-03,A004,169617,79748,15821,5483,72.15,"The site takes too long to load on average phones.
People didn’t wait around.",C012
111,E-paper Mobile Web,2021-04,A001,126197,55088,6357,2312,85.0,nan,C012
112,E-paper Mobile Web,2021-05,A003,215929,74753,22070,22446,71.95,nan,C012
113,E-paper Mobile Web,2021-06,A004,286365,97139,29300,12325,52.86,nan,C012
114,E-paper Mobile Web,2021-07,A002,233006,87908,31499,14450,70.71,"The site takes too long to load on average phones.
People didn’t wait around.",C012
115,E-paper Mobile Web,2021-08,A001,243292,26734,24265,4755,74.04,nan,C012
116,E-paper Mobile Web,2021-09,A002,195521,64524,27959,13479,37.77,"The site takes too long to load on average phones.
People didn’t wait around.",C012
117,E-paper Mobile Web,2021-10,A003,195698,76379,31255,11274,73.24,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
118,E-paper Mobile Web,2021-11,A002,169879,19213,29965,11927,66.53,nan,C012
119,E-paper Mobile Web,2021-12,A004,117754,103431,19262,16456,71.4,"The site takes too long to load on average phones.
People didn’t wait around.",C012
120,Mobile App Beta,2021-01,A001,267273,63063,33057,10510,65.79,nan,C012
121,Mobile App Beta,2021-02,A004,221320,71785,33758,24958,73.09,nan,C012
122,Mobile App Beta,2021-03,A004,237433,68599,14848,20593,51.4,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C012
123,Mobile App Beta,2021-04,A002,208187,63410,22763,24045,78.07,"The site takes too long to load on average phones.
People didn’t wait around.",C012
124,Mobile App Beta,2021-05,A002,207532,105536,23115,7664,44.04,"The site takes too long to load on average phones.
People didn’t wait around.",C012
125,Mobile App Beta,2021-06,A001,208252,54098,51842,5376,94.83,nan,C012
126,Mobile App Beta,2021-07,A004,140249,98322,31243,15896,65.95,nan,C012
127,Mobile App Beta,2021-08,A003,186555,66997,26491,10391,62.96,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
128,Mobile App Beta,2021-09,A004,235929,113123,12156,22278,52.4,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
129,Mobile App Beta,2021-10,A004,183169,48645,16709,19159,79.09,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C012
130,Mobile App Beta,2021-11,A004,240257,39405,18318,18421,65.22,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C012
131,Mobile App Beta,2021-12,A002,234983,51260,33425,19244,72.4,"The site takes too long to load on average phones.
People didn’t wait around.",C012
132,Responsive Web Version,2021-01,A001,226489,70144,26779,19592,59.03,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C012
133,Responsive Web Version,2021-02,A002,228047,72073,19209,20077,72.63,"The site takes too long to load on average phones.
People didn’t wait around.",C012
134,Responsive Web Version,2021-03,A003,243653,68812,28563,13894,79.37,"The site takes too long to load on average phones.
People didn’t wait around.",C012
135,Responsive Web Version,2021-04,A002,240079,60354,32516,13091,74.37,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
136,Responsive Web Version,2021-05,A001,222897,107108,34750,11124,81.25,nan,C012
137,Responsive Web Version,2021-06,A004,199122,94848,23886,9534,82.97,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
138,Responsive Web Version,2021-07,A004,248377,60835,37684,17269,73.97,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
139,Responsive Web Version,2021-08,A004,212059,53785,22513,6866,64.03,"The site takes too long to load on average phones.
People didn’t wait around.",C012
140,Responsive Web Version,2021-09,A002,168571,70597,20208,16541,39.78,"The site takes too long to load on average phones.
People didn’t wait around.",C012
141,Responsive Web Version,2021-10,A002,234043,84006,22351,9272,70.7,nan,C012
142,Responsive Web Version,2021-11,A003,250405,97094,13755,13007,64.3,nan,C012
143,Responsive Web Version,2021-12,A003,221633,97675,31520,9316,63.94,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C012
144,PDF WhatsApp Push,2021-01,A001,213150,73190,19841,7698,60.26,nan,C013
145,PDF WhatsApp Push,2021-02,A004,242543,55948,16008,13787,60.52,nan,C013
146,PDF WhatsApp Push,2021-03,A002,210755,79474,21005,14858,55.27,"The site takes too long to load on average phones.
People didn’t wait around.",C013
147,PDF WhatsApp Push,2021-04,A004,207398,73340,17496,18541,61.3,"The site takes too long to load on average phones.
People didn’t wait around.",C013
148,PDF WhatsApp Push,2021-05,A003,119594,104936,34641,19953,59.84,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
149,PDF WhatsApp Push,2021-06,A001,248667,83735,42226,12929,71.14,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
150,PDF WhatsApp Push,2021-07,A003,206806,70393,19848,23192,62.88,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
151,PDF WhatsApp Push,2021-08,A003,239080,62251,23604,15359,72.31,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
152,PDF WhatsApp Push,2021-09,A004,204720,61942,17122,12505,51.78,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
153,PDF WhatsApp Push,2021-10,A003,112294,44203,40612,6763,74.05,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
154,PDF WhatsApp Push,2021-11,A002,116793,47638,24314,4266,63.47,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
155,PDF WhatsApp Push,2021-12,A002,264988,87223,36062,17860,46.48,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
156,E-paper Mobile Web,2021-01,A001,149872,102965,38838,23937,68.16,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
157,E-paper Mobile Web,2021-02,A002,229344,67910,29896,14006,49.34,"The site takes too long to load on average phones.
People didn’t wait around.",C013
158,E-paper Mobile Web,2021-03,A003,159408,110375,20582,8597,42.65,nan,C013
159,E-paper Mobile Web,2021-04,A001,214692,103451,35444,12808,71.01,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
160,E-paper Mobile Web,2021-05,A004,230168,66007,27124,7234,80.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
161,E-paper Mobile Web,2021-06,A003,203639,87517,33255,16945,64.41,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
162,E-paper Mobile Web,2021-07,A004,102070,61296,20422,13002,57.9,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
163,E-paper Mobile Web,2021-08,A002,225534,81410,22585,6871,71.43,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
164,E-paper Mobile Web,2021-09,A003,147338,67430,28938,7280,42.96,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
165,E-paper Mobile Web,2021-10,A004,221183,69656,26445,14016,53.32,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
166,E-paper Mobile Web,2021-11,A004,76612,99570,10829,16998,62.04,"The site takes too long to load on average phones.
People didn’t wait around.",C013
167,E-paper Mobile Web,2021-12,A004,206709,75420,34486,12178,73.66,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
168,Mobile App Beta,2021-01,A002,83140,88292,9439,10379,90.68,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
169,Mobile App Beta,2021-02,A003,189278,80099,43682,9528,54.14,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
170,Mobile App Beta,2021-03,A002,239152,80586,32057,9914,55.14,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
171,Mobile App Beta,2021-04,A003,195442,37200,37853,14343,70.07,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
172,Mobile App Beta,2021-05,A003,215853,67725,21642,14860,57.46,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
173,Mobile App Beta,2021-06,A002,189652,51033,9247,11292,75.16,nan,C013
174,Mobile App Beta,2021-07,A001,132454,58299,31998,22686,52.22,nan,C013
175,Mobile App Beta,2021-08,A004,200878,73100,-4902,20445,60.62,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
176,Mobile App Beta,2021-09,A001,259085,35649,39801,13786,56.06,"The site takes too long to load on average phones.
People didn’t wait around.",C013
177,Mobile App Beta,2021-10,A002,207162,46336,17011,26211,71.82,nan,C013
178,Mobile App Beta,2021-11,A002,187628,74296,21675,10101,64.29,"The site takes too long to load on average phones.
People didn’t wait around.",C013
179,Mobile App Beta,2021-12,A001,169045,65199,19569,17691,66.99,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
180,Responsive Web Version,2021-01,A004,157707,78744,8743,8596,70.71,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
181,Responsive Web Version,2021-02,A002,210321,21606,18986,19361,36.86,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
182,Responsive Web Version,2021-03,A002,186363,77486,21710,13875,66.6,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C013
183,Responsive Web Version,2021-04,A002,184665,76786,34085,9015,68.03,"The site takes too long to load on average phones.
People didn’t wait around.",C013
184,Responsive Web Version,2021-05,A004,78629,88228,35208,10779,51.59,nan,C013
185,Responsive Web Version,2021-06,A003,213124,47897,37570,21272,47.67,nan,C013
186,Responsive Web Version,2021-07,A004,201522,99748,18092,15438,69.47,nan,C013
187,Responsive Web Version,2021-08,A002,180486,96215,48906,3711,68.93,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
188,Responsive Web Version,2021-09,A001,235942,86952,45803,22677,75.77,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
189,Responsive Web Version,2021-10,A001,207762,83385,16983,9769,56.93,nan,C013
190,Responsive Web Version,2021-11,A001,208713,68622,28156,13070,35.46,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C013
191,Responsive Web Version,2021-12,A002,214527,85396,26106,16461,30.03,"The site takes too long to load on average phones.
People didn’t wait around.",C013
192,PDF WhatsApp Push,2021-01,A003,245460,54232,30671,16266,67.75,"The site takes too long to load on average phones.
People didn’t wait around.",C014
193,PDF WhatsApp Push,2021-02,A001,183006,112007,32792,21477,73.12,nan,C014
194,PDF WhatsApp Push,2021-03,A001,135210,55730,22849,15869,46.21,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
195,PDF WhatsApp Push,2021-04,A003,160107,42105,18544,12084,19.46,nan,C014
196,PDF WhatsApp Push,2021-05,A001,159035,52415,26073,6904,77.37,"The site takes too long to load on average phones.
People didn’t wait around.",C014
197,PDF WhatsApp Push,2021-06,A001,217180,53584,21397,14586,83.95,nan,C014
198,PDF WhatsApp Push,2021-07,A004,170935,77429,34052,15000,68.53,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
199,PDF WhatsApp Push,2021-08,A004,171685,126383,18890,15701,89.46,nan,C014
200,PDF WhatsApp Push,2021-09,A003,193719,83517,24568,6405,48.18,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
201,PDF WhatsApp Push,2021-10,A001,239511,43507,13727,14945,68.73,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
202,PDF WhatsApp Push,2021-11,A004,167749,20414,22354,17385,59.34,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C014
203,PDF WhatsApp Push,2021-12,A002,221625,108123,16355,14264,71.02,"The site takes too long to load on average phones.
People didn’t wait around.",C014
204,E-paper Mobile Web,2021-01,A002,250089,78592,19951,14725,35.33,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
205,E-paper Mobile Web,2021-02,A003,282093,50440,18755,20453,59.9,nan,C014
206,E-paper Mobile Web,2021-03,A002,227268,71231,42119,13910,66.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
207,E-paper Mobile Web,2021-04,A003,219389,49461,35522,14765,62.95,"The site takes too long to load on average phones.
People didn’t wait around.",C014
208,E-paper Mobile Web,2021-05,A004,207135,49758,12287,19180,55.21,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
209,E-paper Mobile Web,2021-06,A004,210052,59686,10469,12981,59.74,nan,C014
210,E-paper Mobile Web,2021-07,A002,202219,94527,36779,11889,50.22,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
211,E-paper Mobile Web,2021-08,A004,188972,57414,20851,16946,74.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C014
212,E-paper Mobile Web,2021-09,A002,255263,103290,15187,13473,42.44,"The site takes too long to load on average phones.
People didn’t wait around.",C014
213,E-paper Mobile Web,2021-10,A001,171038,66179,4449,13149,53.89,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C014
214,E-paper Mobile Web,2021-11,A001,235166,45492,13921,15344,43.61,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C014
215,E-paper Mobile Web,2021-12,A002,141203,52274,22553,5409,89.63,"The site takes too long to load on average phones.
People didn’t wait around.",C014
216,Mobile App Beta,2021-01,A003,124289,89201,27985,13336,25.06,nan,C014
217,Mobile App Beta,2021-02,A001,177041,74077,45156,25830,67.06,nan,C014
218,Mobile App Beta,2021-03,A004,207171,65507,28835,14366,88.89,nan,C014
219,Mobile App Beta,2021-04,A004,206111,80494,36940,27554,82.43,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C014
220,Mobile App Beta,2021-05,A003,160320,56724,31710,12325,52.25,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C014
221,Mobile App Beta,2021-06,A001,230766,72623,24624,15258,44.0,"The site takes too long to load on average phones.
People didn’t wait around.",C014
222,Mobile App Beta,2021-07,A003,191426,98574,25367,14020,92.26,nan,C014
